WARNING *** file size (719348) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
"City of Chicago, Illinois",,,,,,,,,District Canvass,,,
RunOff & Suppl Aldermanic,,,,,,,,,"April 2, 2019",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"1     Mayor
2     Treasurer",,,,,,,,,,
,,,,,,,1,1,,,2,2
ward_precinct,,Registered,Ballots Cast,Turnout (%),,,LORI LIGHTFOOT,TONI PRECKWINKLE,,,MELISSA CONYEARS-ERVIN,AMEYA PAWAR
Ward 05 Precinct 20,Total,812,403,49.63,,,176,227,,,245,139
Ward 05 Precinct 21,Total,739,336,45.47,,,167,169,,,152,165
Ward 05 Precinct 23,Total,1229,565,45.97,,,272,292,,,254,279
Ward 05 Precinct 24,Total,844,373,44.19,,,175,197,,,174,178
Ward 05 Precinct 25,Total,745,329,44.16,,,203,124,,,231,93
Ward 05 Precinct 27,Total,986,323,32.76,,,151,170,,,84,212
Ward 05 Precinct 28,Total,871,383,43.97,,,227,154,,,302,69
Ward 05 Precinct 30,Total,708,217,30.65,,,147,69,,,185,28
Ward 05 Precinct 33,Total,865,360,41.62,,,216,138,,,285,57
Ward 05 Precinct 34,Total,801,402,50.19,,,204,194,,,110,250
Ward 05 Precinct 35,Total,857,429,50.06,,,240,185,,,176,228
Ward 05 Precinct 36,Total,651,210,32.26,,,133,76,,,165,37
Ward 05 Precinct 37,Total,815,428,52.52,,,215,211,,,186,216
Ward 05 Precinct 41,Total,347,238,68.59,,,122,116,,,147,75
,,,,,,,,,,,,
Ward 05,Total,18815,7932,42.16,,,4316,3577,,,4718,2819
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 06 Precinct 01,Total,680,324,47.65,,,188,133,,,284,30
Ward 06 Precinct 02,Total,697,303,43.47,,,208,92,,,249,43
Ward 06 Precinct 05,Total,711,160,22.50,,,111,48,,,136,18
Ward 06 Precinct 06,Total,716,322,44.97,,,205,112,,,282,33
Ward 06 Precinct 07,Total,735,239,32.52,,,169,70,,,199,32
Ward 06 Precinct 08,Total,695,310,44.60,,,188,120,,,261,41
Ward 06 Precinct 09,Total,826,227,27.48,,,159,67,,,185,32
Ward 06 Precinct 10,Total,660,150,22.73,,,104,44,,,127,19
Ward 06 Precinct 13,Total,567,231,40.74,,,153,76,,,191,32
Ward 06 Precinct 14,Total,758,262,34.56,,,183,78,,,216,35
Ward 06 Precinct 16,Total,701,320,45.65,,,205,114,,,274,35
Ward 06 Precinct 17,Total,709,170,23.98,,,119,50,,,132,26
Ward 06 Precinct 19,Total,722,253,35.04,,,177,73,,,210,30
Ward 06 Precinct 20,Total,649,148,22.80,,,112,35,,,114,25
Ward 06 Precinct 21,Total,628,124,19.75,,,90,34,,,96,16
Ward 06 Precinct 23,Total,588,136,23.13,,,100,35,,,108,16
Ward 06 Precinct 26,Total,718,161,22.42,,,102,58,,,128,25
Ward 06 Precinct 27,Total,639,153,23.94,,,110,42,,,123,24
Ward 06 Precinct 28,Total,568,129,22.71,,,78,51,,,106,9
Ward 06 Precinct 29,Total,667,332,49.78,,,214,118,,,281,42
Ward 06 Precinct 30,Total,760,205,26.97,,,136,69,,,168,26
Ward 06 Precinct 32,Total,703,256,36.42,,,178,77,,,213,37
Ward 06 Precinct 33,Total,688,285,41.42,,,201,82,,,241,31
Ward 06 Precinct 34,Total,691,269,38.93,,,179,89,,,231,27
Ward 06 Precinct 35,Total,622,247,39.71,,,151,93,,,217,27
Ward 06 Precinct 36,Total,688,343,49.85,,,202,139,,,294,36
Ward 06 Precinct 37,Total,652,328,50.31,,,204,121,,,276,43
Ward 06 Precinct 38,Total,699,312,44.64,,,195,116,,,267,38
Ward 06 Precinct 39,Total,704,224,31.82,,,141,80,,,186,28
Ward 06 Precinct 42,Total,795,265,33.33,,,170,94,,,217,40
Ward 06 Precinct 44,Total,791,252,31.86,,,170,81,,,209,26
Ward 06 Precinct 46,Total,548,182,33.21,,,124,58,,,151,29
Ward 06 Precinct 48,Total,759,273,35.97,,,178,95,,,234,32
,,,,,,,,,,,,
Ward 06,Total,22734,7895,34.73,,,5204,2644,,,6606,983
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 07 Precinct 02,Total,848,208,24.53,,,143,64,,,173,29
Ward 07 Precinct 03,Total,672,284,42.26,,,192,88,,,249,26
Ward 07 Precinct 04,Total,665,251,37.74,,,183,67,,,219,28
Ward 07 Precinct 05,Total,666,186,27.93,,,121,65,,,143,39
Ward 07 Precinct 06,Total,817,338,41.37,,,215,123,,,278,53
Ward 07 Precinct 09,Total,1094,417,38.12,,,262,151,,,335,68
Ward 07 Precinct 10,Total,720,285,39.58,,,218,67,,,241,39
Ward 07 Precinct 11,Total,827,218,26.36,,,149,69,,,178,30
Ward 07 Precinct 12,Total,810,226,27.90,,,160,66,,,199,21
Ward 07 Precinct 13,Total,483,168,34.78,,,114,54,,,140,19
Ward 07 Precinct 16,Total,783,151,19.28,,,106,45,,,133,14
Ward 07 Precinct 22,Total,742,191,25.74,,,127,62,,,147,39
Ward 07 Precinct 23,Total,602,255,42.36,,,152,101,,,216,36
Ward 07 Precinct 25,Total,746,164,21.98,,,118,45,,,120,36
Ward 07 Precinct 27,Total,634,202,31.86,,,141,61,,,172,22
Ward 07 Precinct 28,Total,640,169,26.41,,,107,62,,,125,35
Ward 07 Precinct 33,Total,755,367,48.61,,,233,132,,,316,45
Ward 07 Precinct 34,Total,797,317,39.77,,,194,123,,,273,38
Ward 07 Precinct 36,Total,755,295,39.07,,,190,105,,,250,40
Ward 07 Precinct 37,Total,663,276,41.63,,,178,96,,,241,28
Ward 07 Precinct 38,Total,698,194,27.79,,,131,63,,,159,33
Ward 07 Precinct 40,Total,614,225,36.64,,,155,70,,,194,24
Ward 07 Precinct 43,Total,696,218,31.32,,,153,64,,,187,26
Ward 07 Precinct 44,Total,684,180,26.32,,,124,56,,,159,18
