wp_code,Turnout (%)
50008,28.17
50009,28.43
50010,17.05
50011,27.09
50012,31.80
50013,21.33
50014,38.13
50015,46.44
50016,36.48
50017,16.90
50018,38.79
50020,28.41
50021,29.17
50022,19.52
50023,21.95
50024,24.69
50025,26.93
50026,17.57
50027,32.59
50028,23.89
50029,14.85
50030,20.68
50031,20.04
50032,22.15
50033,35.82
50034,38.30
50035,35.23
50036,30.60
50037,36.13
50038,46.21
50039,17.69
50040,24.62
