wp_code,Turnout (%)
07041,30.74
07042,30.12
07043,31.32
07044,26.32
07045,20.30
07046,46.62
08001,34.38
08002,28.34
08003,50.82
08004,51.63
08005,49.24
08006,35.17
08007,45.10
08008,47.92
08009,39.83
08010,49.80
08012,35.52
08013,34.17
08014,23.91
08015,30.62
08016,25.00
08017,43.61
08018,18.75
08019,42.94
08020,44.84
08021,33.30
08022,37.75
08023,27.41
08024,46.70
08025,33.52
08026,27.71
08027,45.10
08028,35.70
08029,36.14
08030,38.25
08031,34.07
08032,36.16
08033,34.64
08034,39.52
08035,40.33
08036,41.04
08037,47.39
08038,29.60
08039,42.86
08040,35.86
08041,36.92
08042,36.91
08043,33.64
08044,35.77
08045,24.97
08046,32.57
08047,32.24
08048,31.15
08049,39.02
08050,40.23
08051,47.89
08052,43.48
08053,34.07
08054,26.52
08055,46.36
08056,40.76
09001,32.47
09002,31.40
09003,15.78
09004,33.69
09005,38.10
09006,33.92
09007,27.09
09008,23.66
09009,40.03
09010,26.50
09011,27.97
09012,40.11
09013,42.54
09014,41.22
09015,13.61
09016,32.58
09017,25.97
09018,30.47
09019,33.18
09020,35.46
09021,30.56
09022,38.95
09023,42.66
09024,42.33
09025,40.22
09026,17.71
09027,32.05
09028,14.98
09029,27.28
09030,26.12
09031,25.39
09032,34.71
09033,23.59
09034,26.14
09035,38.54
09036,28.21
09037,41.45
09038,30.55
09039,33.16
09040,38.30
09041,31.49
09042,40.52
09043,23.74
09044,34.46
09045,29.41
09046,33.47
09047,44.35
09048,40.45
09049,39.41
09050,45.96
09051,41.53
10001,31.55
10002,32.32
10003,28.42
10004,18.44
10005,25.11
10006,20.26
10007,18.32
10008,12.83
10009,29.17
10010,28.94
10011,18.57
10012,20.21
10013,19.02
10014,24.16
10015,33.55
10016,22.80
10017,30.65
10018,17.57
10019,28.81
10020,29.15
10021,21.92
10022,18.26
10023,18.74
10024,28.69
10025,26.94
10026,14.04
10027,16.68
10028,20.77
10029,18.46
10030,18.69
10031,16.76
10032,21.51
10033,18.03
10035,31.77
10036,23.58
11001,28.87
11002,3.63
11003,28.01
11004,25.42
11005,25.04
11006,32.01
11007,20.25
11008,24.30
11009,23.43
11010,22.78
11011,27.07
11012,36.98
11013,31.96
11014,27.68
11015,31.48
11016,24.44
11017,33.26
11018,26.49
11019,27.86
11020,29.43
11021,42.01
11022,26.48
11023,37.47
11024,44.95
11025,37.18
11026,36.51
11027,15.21
11028,24.31
11029,37.05
11030,16.69
11031,35.07
11032,38.75
11033,30.15
11034,37.57
11035,37.33
11036,21.02
11037,23.37
11038,24.63
12001,28.19
12002,20.19
12003,30.58
12004,25.94
12005,24.13
12006,17.86
12007,15.10
12008,23.99
12009,21.62
12010,17.06
12011,17.21
12012,16.62
12013,20.11
12014,14.87
12015,12.19
12016,10.66
12017,17.97
12018,15.92
12019,22.66
12020,13.64
12021,20.53
12022,13.47
12023,25.54
13001,37.26
13002,41.68
13003,17.85
13004,29.97
13005,23.79
13006,42.41
13007,20.19
13008,32.42
13009,24.51
13010,43.61
13011,32.69
13012,24.20
13013,34.43
13014,21.87
13015,23.99
13016,18.29
13017,28.52
13018,31.09
13019,14.80
13020,36.48
13021,40.88
13022,33.23
13023,21.82
13024,26.09
13025,24.73
13026,22.73
13027,33.74
13028,22.77
13029,26.28
13030,20.16
13031,35.58
13032,37.35
13033,37.31
13034,22.50
13035,27.70
13036,21.55
13037,32.75
13038,39.35
13039,26.19
